fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.60476,0.08731,0.25075,True,no_recovery,,2.67945,300,False
torque_limit,0.2,1,1,197,0.63771,0.08818,1.17935,True,fell,,0.32906,150,True
torque_limit,0.2,1,2,233,0.53397,0.09284,1.03471,True,fell,,0.52893,211,True
torque_limit,0.2,1,3,231,0.54967,0.10569,0.97353,True,no_recovery,,0.80363,300,False
torque_limit,0.2,1,4,222,0.62633,0.09628,0.99908,True,fell,,1.27505,262,True
torque_limit,0.2,1,5,217,0.52941,0.09714,0.2093,True,recovered,1.5167,2.5861,300,False
torque_limit,0.2,1,6,194,0.6641,0.1344,0.18745,True,recovered,0.0167,3.31717,300,False
torque_limit,0.2,1,7,244,0.5533,0.1481,0.58357,True,fell,,0.448,52,True
torque_limit,0.2,1,8,221,0.63103,0.09163,0.44226,True,recovered,1.05,2.50122,300,False
torque_limit,0.2,1,9,192,0.50106,0.11031,0.58686,True,fell,,0.44672,49,True
torque_limit,0.2,1,10,227,0.4728,0.07617,0.65549,True,fell,,0.65457,99,True
torque_limit,0.2,1,11,163,0.44964,0.09414,0.21872,True,recovered,3.0,2.37531,300,False
torque_limit,0.2,1,12,211,0.58437,0.07419,0.79958,True,fell,,0.39817,90,True
torque_limit,0.2,1,13,239,0.43167,0.08516,0.26059,True,recovered,2.9667,2.58086,300,False
torque_limit,0.2,1,14,165,0.4124,0.0776,0.89204,True,no_recovery,,0.85279,300,False
torque_limit,0.2,1,15,243,0.61859,0.11114,0.43043,True,no_recovery,,2.46234,300,False
torque_limit,0.2,1,16,203,0.64572,0.13647,0.48463,True,fell,,0.50873,54,True
torque_limit,0.2,1,17,224,0.38204,0.07931,-0.02215,False,no_degradation,,2.71469,300,False
torque_limit,0.2,1,18,239,0.6088,0.11097,0.87123,True,fell,,0.35254,53,True
torque_limit,0.2,1,19,208,0.57111,0.12167,0.61272,True,no_recovery,,2.04628,300,False
torque_limit,0.2,1,20,239,0.60489,0.1156,0.9759,True,fell,,0.63907,114,True
torque_limit,0.2,1,21,180,0.54088,0.09212,0.40719,True,recovered,0.6167,2.65451,300,False
torque_limit,0.2,1,22,227,0.50137,0.08896,0.15208,True,recovered,4.1333,3.16842,300,False
torque_limit,0.2,1,23,153,0.50171,0.10959,0.19896,True,recovered,3.2,2.46681,300,False
torque_limit,0.2,1,24,188,0.71618,0.08418,1.01307,True,fell,,0.41016,72,True
torque_limit,0.2,1,25,200,0.48278,0.08878,0.34503,True,recovered,0.0333,2.36761,300,False
torque_limit,0.2,1,26,236,0.74877,0.12511,0.53152,True,no_recovery,,2.77672,300,False
torque_limit,0.2,1,27,150,0.5128,0.08151,0.9372,True,no_recovery,,0.97121,300,False
torque_limit,0.2,1,28,216,0.61383,0.13508,0.52588,True,no_recovery,,1.786,300,False
torque_limit,0.2,1,29,243,0.58034,0.09441,0.93458,True,no_recovery,,0.81904,300,False
torque_limit,0.2,1,30,160,0.53339,0.11849,0.33088,True,recovered,3.8833,2.79895,300,False
torque_limit,0.2,1,31,204,0.6055,0.12091,0.46046,True,recovered,0.7833,2.3566,300,False
torque_limit,0.2,1,32,237,0.56811,0.10621,0.91563,True,fell,,0.72141,149,True
torque_limit,0.2,1,33,237,0.67996,0.1472,0.94981,True,fell,,0.38525,68,True
torque_limit,0.2,1,34,156,0.5229,0.0935,0.06238,False,no_degradation,,2.9719,300,False
torque_limit,0.2,1,35,160,0.56554,0.1515,0.22933,True,recovered,1.7833,2.68949,300,False
torque_limit,0.2,1,36,188,0.49812,0.09128,0.30418,True,recovered,2.2667,2.24936,300,False
torque_limit,0.2,1,37,165,0.56255,0.09439,0.30427,True,no_recovery,,2.54895,300,False
torque_limit,0.2,1,38,174,0.54535,0.09273,0.44525,True,recovered,0.05,2.33844,300,False
torque_limit,0.2,1,39,247,0.48373,0.07815,0.8947,True,fell,,0.74217,148,True
torque_limit,0.2,1,40,206,0.58421,0.10137,0.74972,True,fell,,0.99075,238,True
torque_limit,0.2,1,41,216,0.52394,0.07785,0.84547,True,no_recovery,,0.92574,300,False
torque_limit,0.2,1,42,158,0.43761,0.06661,0.30165,True,no_recovery,,2.37939,300,False
torque_limit,0.2,1,43,200,0.45597,0.11089,0.86418,True,fell,,0.30554,80,True
torque_limit,0.2,1,44,216,0.41618,0.08596,0.79883,True,fell,,0.54841,127,True
torque_limit,0.2,1,45,242,0.59337,0.09256,0.52298,True,fell,,0.79068,126,True
torque_limit,0.2,1,46,200,0.43685,0.0943,0.86213,True,no_recovery,,0.78875,300,False
torque_limit,0.2,1,47,159,0.71059,0.08669,0.37927,True,recovered,2.2333,2.94981,300,False
torque_limit,0.2,1,48,163,0.52228,0.11968,0.86923,True,fell,,1.69843,296,True
torque_limit,0.2,1,49,154,0.57691,0.11812,0.83374,True,fell,,0.6052,104,True
torque_limit,0.2,1,50,228,0.72296,0.14372,0.81856,True,fell,,0.30839,53,True
torque_limit,0.2,1,51,188,0.47078,0.08654,0.62873,True,fell,,0.56885,155,True
torque_limit,0.2,1,52,246,0.57442,0.10363,1.13077,True,no_recovery,,1.44947,300,False
torque_limit,0.2,1,53,225,0.56815,0.0919,0.20386,True,recovered,0.0167,2.81841,300,False
torque_limit,0.2,1,54,181,0.51815,0.09928,0.89529,True,fell,,0.55517,124,True
torque_limit,0.2,1,55,246,0.61437,0.08163,0.62497,True,recovered,0.5333,2.20803,300,False
torque_limit,0.2,1,56,186,0.71282,0.12888,1.09311,True,fell,,0.43706,88,True
torque_limit,0.2,1,57,156,0.58153,0.1375,0.42101,True,recovered,0.7167,2.54221,300,False
torque_limit,0.2,1,58,201,0.58327,0.07712,0.80865,True,no_recovery,,1.58522,300,False
torque_limit,0.2,1,59,228,0.55665,0.09684,1.03721,True,fell,,0.84632,155,True
torque_limit,0.2,1,60,167,0.70111,0.14555,0.57646,True,recovered,0.2167,2.74722,300,False
torque_limit,0.2,1,61,192,0.61486,0.09825,0.83382,True,fell,,0.67527,173,True
torque_limit,0.2,1,62,194,0.60343,0.20119,0.43286,True,no_recovery,,2.20921,300,False
torque_limit,0.2,1,63,195,0.45981,0.12996,0.21344,True,recovered,2.0833,2.64069,300,False
torque_limit,0.2,1,64,201,0.55381,0.11488,0.91827,True,fell,,1.07024,228,True
torque_limit,0.2,1,65,167,0.32982,0.07406,0.21393,True,recovered,1.6,1.78179,300,False
torque_limit,0.2,1,66,244,0.5079,0.07326,0.23438,True,recovered,3.7167,2.67198,300,False
torque_limit,0.2,1,67,228,0.62276,0.13003,0.8465,True,fell,,0.32903,50,True
torque_limit,0.2,1,68,198,0.52924,0.08923,0.17857,True,recovered,0.5667,2.68821,300,False
torque_limit,0.2,1,69,155,0.41001,0.10763,0.36213,True,recovered,0.95,2.2926,300,False
torque_limit,0.2,1,70,214,0.53519,0.08217,0.86981,True,no_recovery,,0.84434,300,False
torque_limit,0.2,1,71,245,0.67714,0.09356,0.97501,True,fell,,0.66154,148,True
torque_limit,0.2,1,72,245,0.59369,0.09334,0.27436,True,recovered,1.2167,3.01627,300,False
torque_limit,0.2,1,73,231,0.75398,0.12549,0.87735,True,no_recovery,,1.25368,300,False
torque_limit,0.2,1,74,169,0.753,0.07987,0.31607,True,no_recovery,,3.03187,300,False
torque_limit,0.2,1,75,216,0.51934,0.08857,0.84991,True,fell,,0.33092,61,True
torque_limit,0.2,1,76,206,0.69614,0.12574,0.55891,True,recovered,0.0167,2.93893,300,False
torque_limit,0.2,1,77,155,0.40267,0.065,0.37503,True,recovered,0.1333,2.17952,300,False
torque_limit,0.2,1,78,223,0.59177,0.09425,0.59014,True,recovered,3.8667,2.36043,300,False
torque_limit,0.2,1,79,160,0.43015,0.0823,0.19666,True,recovered,2.4167,2.21815,300,False
torque_limit,0.2,1,80,240,0.55291,0.10284,0.25237,True,recovered,1.8333,2.87493,300,False
torque_limit,0.2,1,81,155,0.57304,0.0963,0.22302,True,recovered,3.8167,3.00024,300,False
torque_limit,0.2,1,82,221,0.72794,0.09018,0.67611,True,no_recovery,,1.61546,300,False
torque_limit,0.2,1,83,224,0.60401,0.09302,0.94094,True,fell,,0.81332,180,True
torque_limit,0.2,1,84,215,0.63201,0.09152,1.00851,True,no_recovery,,1.74011,300,False
torque_limit,0.2,1,85,221,0.61377,0.08974,0.48351,True,recovered,3.5333,2.5869,300,False
torque_limit,0.2,1,86,245,0.54838,0.11735,0.379,True,recovered,1.0167,2.75419,300,False
torque_limit,0.2,1,87,211,0.36835,0.08715,0.29465,True,recovered,0.2333,2.37167,300,False
torque_limit,0.2,1,88,200,0.53659,0.1023,0.96425,True,recovered,0.0333,0.8761,300,False
torque_limit,0.2,1,89,235,0.5853,0.07575,0.92649,True,fell,,0.61561,117,True
torque_limit,0.2,1,90,215,0.44081,0.09999,0.67165,True,fell,,0.26528,49,True
torque_limit,0.2,1,91,223,0.47011,0.13649,0.78052,True,fell,,0.37166,62,True
torque_limit,0.2,1,92,194,0.64745,0.10826,0.46439,True,recovered,2.45,2.4996,300,False
torque_limit,0.2,1,93,245,0.5734,0.0772,1.04307,True,fell,,0.26462,61,True
