time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction
24,1,8192,63.27,336,-6.08167365,,,,,,,,,,,
49,2,16384,60.67,330,-3.49949372,-0.02030026912689209,10,-0.025849598860077094,16.650115966796875,0.011256598,37.55409452319145,-17.03824546933174,1.0013755559921265,0.0003,0.2,0.130859375
74,3,24576,66.74,329,-4.6420759,0.015667498111724854,20,-0.03174543224668014,13.803258895874023,0.010893122,32.170302563905715,-17.071610933542253,1.0045194625854492,0.0003,0.2,0.13203125
101,4,32768,61.37,323,-1.3213925800000001,0.09211182594299316,30,-0.028963435726473107,12.712313652038574,0.009493707,28.047956150770187,-17.08318638205528,1.0048142671585083,0.0003,0.2,0.10931396484375
128,5,40960,62.28,319,-4.43774964,0.2291761040687561,40,-0.02758234710927354,11.017457962036133,0.00926774,26.59559420347214,-17.088795912265777,1.0048853158950806,0.0003,0.2,0.10443115234375
151,6,49152,69.3,324,0.3071467199999999,0.364071786403656,50,-0.02790917881138739,10.563678741455078,0.009378787,24.533113861083983,-17.099825459718705,1.0067030191421509,0.0003,0.2,0.10211181640625
175,7,57344,66.15,327,0.24202163000000013,0.4740108847618103,60,-0.027908525372185976,10.017372131347656,0.010049483,22.1200101852417,-17.118992990255357,1.008226990699768,0.0003,0.2,0.1103271484375
199,8,65536,67.99,328,2.48853621,0.5007187724113464,70,-0.029081149483681658,11.24583911895752,0.009860707,24.960818630456924,-17.13700736165047,1.0095890760421753,0.0003,0.2,0.11361083984375
223,9,73728,64.6,329,3.79586151,0.5556371212005615,80,-0.027906444813561394,11.09145450592041,0.009775518,23.294386565685272,-17.145498365163803,1.0097864866256714,0.0003,0.2,0.11212158203125
249,10,81920,60.48,327,2.54545018,0.6560406684875488,90,-0.03229366671002935,6.676910877227783,0.011139644,18.028298860788347,-17.14842051267624,1.0102065801620483,0.0003,0.2,0.12420654296875
273,11,90112,66.59,328,5.07303454,0.6788216829299927,100,-0.03397271435169387,8.972587585449219,0.011536408,18.848986133933067,-17.152422893047333,1.0105022192001343,0.0003,0.2,0.13399658203125
298,12,98304,68.81,329,4.803888560000001,0.7031310200691223,110,-0.034288656347780486,8.718998908996582,0.011261407,17.895018088817597,-17.152443712949754,1.0106306076049805,0.0003,0.2,0.13505859375
322,13,106496,72.53,330,7.9643953299999986,0.7229362726211548,120,-0.034024121313996146,7.267734050750732,0.011371485,17.953226497769357,-17.166739964485167,1.0124764442443848,0.0003,0.2,0.13768310546875
346,14,114688,65.75,330,8.92014876,0.7120546698570251,130,-0.035059047429240306,8.368741035461426,0.012015314,20.218956926465033,-17.174675118923187,1.0121289491653442,0.0003,0.2,0.1421142578125
371,15,122880,66.26,331,9.68318705,0.752514123916626,140,-0.03423911511781626,7.117532253265381,0.011385702,17.282841563224792,-17.17861127257347,1.0132595300674438,0.0003,0.2,0.12962646484375
394,16,131072,72.68,332,9.982976,0.7852300405502319,150,-0.03423762760940008,6.107365131378174,0.011413176,15.606835612654686,-17.20471758246422,1.0156253576278687,0.0003,0.2,0.13419189453125
417,17,139264,71.74,333,10.795494349999998,0.7823354005813599,160,-0.036462321412545864,6.6844329833984375,0.012426816,15.352100902795792,-17.225209134817124,1.0170941352844238,0.0003,0.2,0.14508056640625
440,18,147456,77.41,334,12.481859729999998,0.8132143616676331,170,-0.03655525317008142,6.292105197906494,0.012459032,14.900529977679252,-17.23878470659256,1.0180424451828003,0.0003,0.2,0.14329833984375
463,19,155648,71.21,335,13.31193613,0.8168204426765442,180,-0.03868276513894671,7.074491024017334,0.013864027,15.560965219140053,-17.23802393078804,1.017370581626892,0.0003,0.2,0.1651611328125
486,20,163840,76.61,336,15.561770179999996,0.8389934301376343,190,-0.0385197974035691,6.2788848876953125,0.0137362825,13.938571387529374,-17.215945595502852,1.0152769088745117,0.0003,0.2,0.16021728515625
507,21,172032,86.85,339,15.19016423,0.8611020445823669,200,-0.04144697696756339,5.320929050445557,0.015221421,12.728507575392722,-17.21157678961754,1.0152426958084106,0.0003,0.2,0.1906982421875
527,22,180224,91.25,341,17.15975787,0.8235822319984436,210,-0.039364780226605944,6.292325019836426,0.014885854,15.456808277964592,-17.22442821264267,1.0177503824234009,0.0003,0.2,0.17392578125
547,23,188416,90.38,344,20.78643952,0.8380143642425537,220,-0.03991695676086238,6.121402263641357,0.015096081,15.570728465914726,-17.24255851507187,1.0191880464553833,0.0003,0.2,0.1771484375
