time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/std,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance
8192,1,64.0,24,339,-2.4261118100000005,,,,,,,,,,,
16384,2,68.12,48,339,-2.2995140000000003,19.048311233520508,1.004703164100647,-17.07090220451355,0.011634095,0.0003,0.2,40.478362905979154,0.135791015625,10,-0.027341731062915643,-0.005929470062255859
24576,3,65.68,72,337,-3.6713424700000004,12.741674423217773,1.0076278448104858,-17.108412325382233,0.010122727,0.0003,0.2,33.2036832690239,0.116259765625,20,-0.029257569304900245,0.03742104768753052
32768,4,67.27,96,338,-0.3982425700000002,12.725975036621094,1.007696270942688,-17.121287590265275,0.010424254,0.0003,0.2,29.288490688800813,0.127001953125,30,-0.02957383351167664,0.105155348777771
40960,5,62.11,122,335,-0.37389166999999984,12.087244033813477,1.0094965696334839,-17.134141612052918,0.009041489,0.0003,0.2,30.01860839724541,0.09791259765625,40,-0.02578399837257166,0.2043091058731079
49152,6,62.32,147,333,-0.08672340000000034,10.950337409973145,1.010759949684143,-17.15242423415184,0.010142086,0.0003,0.2,25.510049563646316,0.1145751953125,50,-0.02846795750083402,0.30313748121261597
57344,7,63.61,173,331,1.1347955900000002,10.801285743713379,1.0113059282302856,-17.162477415800094,0.009966087,0.0003,0.2,23.45524644255638,0.11502685546875,60,-0.028574439813382924,0.3746374845504761
65536,8,63.86,198,329,1.5389428100000004,9.757730484008789,1.0151532888412476,-17.191960579156877,0.010520196,0.0003,0.2,21.784717085957528,0.11856689453125,70,-0.02960724718941492,0.4892237186431885
73728,9,65.56,224,328,2.8255972599999994,9.14965534210205,1.0144532918930054,-17.202843564748765,0.010266246,0.0003,0.2,20.297747245430948,0.11920166015625,80,-0.03095552277445677,0.5864952206611633
81920,10,60.69,250,327,4.62561995,7.93093204498291,1.0151190757751465,-17.205050283670424,0.010745851,0.0003,0.2,21.026832550764084,0.12156982421875,90,-0.03135441021586303,0.5709967017173767
90112,11,67.7,275,327,7.39921747,7.868359088897705,1.014312982559204,-17.199116176366807,0.010266844,0.0003,0.2,18.665086567401886,0.12100830078125,100,-0.031535582547076044,0.6506352424621582
98304,12,65.86,298,328,5.76864007,10.26319408416748,1.014604926109314,-17.201941764354707,0.010708701,0.0003,0.2,18.731137278676034,0.1260009765625,110,-0.030734432842291427,0.6872223615646362
