time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
131072,10.845063470000003,386,68.15,338,16,-0.03615845877720858,150,0.2,0.14818115234375,0.7768731713294983,0.0003,15.502163335680962,0.012385123,1.0106643438339233,-17.14775452017784,6.704566955566406
139264,13.05710952,409,71.52,339,17,-0.037132417326211,160,0.2,0.1606201171875,0.8175763487815857,0.0003,13.052874422073364,0.013074244,1.0132721662521362,-17.173911386728285,5.815032958984375
147456,11.47440274,431,74.63,341,18,-0.03784221456226078,170,0.2,0.1655517578125,0.818305492401123,0.0003,13.688814127445221,0.013521718,1.0113972425460815,-17.169773042201996,7.092334747314453
155648,14.288456470000003,453,78.73,343,19,-0.038208881985337936,180,0.2,0.16083984375,0.8239481449127197,0.0003,14.779326659440994,0.0134292655,1.010250210762024,-17.153122752904892,6.604182720184326
163840,17.26598949,474,83.38,345,20,-0.03925373475503875,190,0.2,0.16356201171875,0.8482484817504883,0.0003,13.98498340845108,0.0131860245,1.008241057395935,-17.12801049351692,6.161820411682129
172032,16.346825990000003,495,84.63,347,21,-0.039849793932080504,200,0.2,0.17379150390625,0.8536766767501831,0.0003,12.978414776921273,0.014934085,1.0097905397415161,-17.134237623214723,6.90425443649292
180224,18.41318308,516,84.79,349,22,-0.03964249903219752,210,0.2,0.16376953125,0.8474282026290894,0.0003,15.11941039264202,0.013670651,1.0081977844238281,-17.129098910093308,6.357590198516846
188416,19.017904559999998,536,85.69,351,23,-0.04140604401909513,220,0.2,0.182080078125,0.8635664582252502,0.0003,13.409778660535812,0.015565187,1.0101884603500366,-17.140844774246215,6.575005531311035
196608,18.26377162,557,81.79,352,24,-0.04257152478676289,230,0.2,0.18887939453125,0.8668633103370667,0.0003,13.285880744457245,0.015908208,1.0122342109680176,-17.165595483779907,6.219860076904297
204800,24.430304150000005,577,95.15,354,25,-0.04465774622003664,240,0.2,0.19429931640625,0.8770785927772522,0.0003,13.267435091733933,0.01596808,1.0106135606765747,-17.155376958847047,7.4099345207214355
212992,24.864645750000005,597,93.81,356,26,-0.04310155567363836,250,0.2,0.196240234375,0.8797925114631653,0.0003,13.215311697125435,0.016371934,1.010283350944519,-17.151416516304018,6.377649307250977
221184,26.720864390000003,616,97.45,358,27,-0.044887194389593786,260,0.2,0.21104736328125,0.8891918659210205,0.0003,12.52948933839798,0.017659355,1.0102347135543823,-17.145198118686675,5.2136359214782715
