fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.45149,0.08872,0.1516,True,no_recovery,,2.79295,300,False
torque_limit,0.2,1,1,197,0.64063,0.09334,0.73054,True,fell,,0.68832,124,True
torque_limit,0.2,1,2,233,0.48721,0.09398,0.9786,True,no_recovery,,0.54767,300,False
torque_limit,0.2,1,3,231,0.50589,0.08331,0.87407,True,no_recovery,,0.85375,300,False
torque_limit,0.2,1,4,222,0.50381,0.11922,0.43273,True,fell,,0.31394,50,True
torque_limit,0.2,1,6,194,0.65383,0.10974,0.6027,True,no_recovery,,2.54225,300,False
torque_limit,0.2,1,7,244,0.53026,0.09951,0.57873,True,fell,,0.24069,28,True
torque_limit,0.2,1,8,221,0.41325,0.16321,0.94991,True,fell,,0.98636,137,True
torque_limit,0.2,1,9,192,0.42219,0.11955,0.16835,True,fell,,0.25139,28,True
torque_limit,0.2,1,10,227,0.7668,0.12363,0.56391,True,no_recovery,,2.25597,300,False
torque_limit,0.2,1,11,163,0.53761,0.12787,0.71669,True,recovered,1.8167,1.97987,300,False
torque_limit,0.2,1,12,211,0.49332,0.20225,1.06864,True,fell,,0.10888,30,True
torque_limit,0.2,1,14,165,0.47562,0.07361,0.96893,True,fell,,0.65821,180,True
torque_limit,0.2,1,15,243,0.43102,0.09262,0.20349,True,recovered,3.05,2.57269,300,False
torque_limit,0.2,1,16,203,0.42956,0.06585,0.62804,True,fell,,0.39312,65,True
torque_limit,0.2,1,17,224,0.38876,0.1157,0.04223,False,no_degradation,,2.78021,300,False
torque_limit,0.2,1,19,208,0.50112,0.08731,0.37581,True,recovered,4.3667,2.15253,300,False
torque_limit,0.2,1,20,239,0.39099,0.15634,0.30855,True,fell,,0.24059,35,True
torque_limit,0.2,1,21,180,0.54291,0.08913,0.69596,True,recovered,3.1167,2.17323,300,False
torque_limit,0.2,1,23,153,0.7514,0.11631,0.46158,True,no_recovery,,2.40917,300,False
torque_limit,0.2,1,24,188,0.46832,0.1328,0.22893,True,fell,,0.30061,32,True
torque_limit,0.2,1,26,236,0.57849,0.09668,0.38359,True,recovered,0.6333,2.63284,300,False
torque_limit,0.2,1,27,150,0.44696,0.0967,0.86808,True,no_recovery,,0.93187,300,False
torque_limit,0.2,1,28,216,0.57706,0.0765,0.62123,True,fell,,0.26753,35,True
torque_limit,0.2,1,29,243,0.49141,0.12594,0.97491,True,no_recovery,,0.84756,300,False
torque_limit,0.2,1,30,160,0.62111,0.09138,0.53932,True,fell,,0.31218,37,True
torque_limit,0.2,1,31,204,0.47452,0.05579,0.11488,False,no_degradation,,2.49673,300,False
torque_limit,0.2,1,32,237,0.55751,0.11142,0.86689,True,fell,,1.08384,225,True
torque_limit,0.2,1,33,237,0.42641,0.08236,0.9989,True,fell,,0.80913,113,True
torque_limit,0.2,1,34,156,0.54931,0.0887,0.85823,True,recovered,3.0833,1.9585,300,False
torque_limit,0.2,1,35,160,0.55896,0.08873,0.2232,True,recovered,2.3333,2.75697,300,False
torque_limit,0.2,1,36,188,0.51636,0.07981,0.92572,True,fell,,0.85503,118,True
torque_limit,0.2,1,37,165,0.5318,0.09503,0.44535,True,recovered,2.8333,2.63297,300,False
torque_limit,0.2,1,38,174,0.59378,0.08079,0.9835,True,fell,,0.52055,82,True
torque_limit,0.2,1,39,247,0.87425,0.10993,0.62504,True,fell,,1.01281,121,True
torque_limit,0.2,1,40,206,0.50338,0.12131,0.84062,True,fell,,0.38716,74,True
torque_limit,0.2,1,41,216,0.44698,0.07856,1.01305,True,no_recovery,,0.74127,300,False
torque_limit,0.2,1,42,158,0.53977,0.10357,0.37237,True,recovered,0.1333,2.84125,300,False
torque_limit,0.2,1,43,200,0.57414,0.08383,0.96352,True,no_recovery,,0.76987,300,False
torque_limit,0.2,1,46,200,0.44539,0.1179,0.87747,True,no_recovery,,0.90914,300,False
torque_limit,0.2,1,47,159,0.53264,0.11736,0.30911,True,recovered,2.2833,2.73559,300,False
torque_limit,0.2,1,48,163,0.66048,0.13064,0.51313,True,recovered,0.1167,2.62698,300,False
torque_limit,0.2,1,49,154,0.59583,0.12768,0.37753,True,fell,,0.46854,66,True
torque_limit,0.2,1,50,228,0.66796,0.14926,0.87208,True,no_recovery,,1.03665,300,False
torque_limit,0.2,1,51,188,0.51679,0.10083,1.58554,True,fell,,0.71624,255,True
torque_limit,0.2,1,53,225,0.49094,0.11818,0.43191,True,recovered,1.9667,2.24139,300,False
torque_limit,0.2,1,54,181,0.50921,0.17234,0.6948,True,fell,,0.86521,188,True
torque_limit,0.2,1,55,246,0.48668,0.08799,0.1662,True,recovered,1.75,2.50317,300,False
torque_limit,0.2,1,57,156,0.65153,0.10988,0.35066,True,recovered,0.6833,2.73982,300,False
torque_limit,0.2,1,58,201,0.46199,0.07505,0.8146,True,fell,,0.46125,123,True
torque_limit,0.2,1,60,167,0.53837,0.1073,0.40791,True,recovered,1.2667,2.24792,300,False
torque_limit,0.2,1,61,192,0.53618,0.0812,0.70733,True,fell,,0.69338,147,True
torque_limit,0.2,1,62,194,0.54588,0.09802,0.2677,True,recovered,1.4167,2.53479,300,False
torque_limit,0.2,1,63,195,0.65883,0.07115,0.73336,True,fell,,0.81175,100,True
torque_limit,0.2,1,64,201,0.41789,0.10362,0.7371,True,fell,,0.35263,88,True
torque_limit,0.2,1,65,167,0.66469,0.08007,0.36835,True,recovered,2.15,2.43989,300,False
torque_limit,0.2,1,66,244,0.61897,0.07537,0.57316,True,recovered,2.6,2.3637,300,False
torque_limit,0.2,1,67,228,0.671,0.11478,1.04931,True,fell,,0.37221,54,True
torque_limit,0.2,1,68,198,0.43793,0.15188,0.62387,True,fell,,0.16087,26,True
torque_limit,0.2,1,69,155,0.44415,0.0996,0.00277,False,no_degradation,,2.67405,300,False
