fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.56015,0.08647,0.37016,True,recovered,1.5,2.29976,300,False
torque_limit,0.2,1,1,197,0.56782,0.0932,0.92137,True,fell,,0.85954,170,True
torque_limit,0.2,1,2,233,0.54774,0.09556,0.80076,True,no_recovery,,1.36297,300,False
torque_limit,0.2,1,3,231,0.61682,0.08666,0.94267,True,no_recovery,,1.26621,300,False
torque_limit,0.2,1,4,222,0.70532,0.11337,1.12446,True,no_recovery,,1.75558,300,False
torque_limit,0.2,1,5,217,0.53058,0.13914,0.2787,True,recovered,1.1833,2.66523,300,False
torque_limit,0.2,1,6,194,0.63345,0.10578,0.32696,True,recovered,1.1667,2.84466,300,False
torque_limit,0.2,1,7,244,0.62821,0.10888,1.03143,True,fell,,1.52288,275,True
torque_limit,0.2,1,8,221,0.50944,0.10727,0.19022,True,recovered,2.4167,2.43685,300,False
torque_limit,0.2,1,9,192,0.56336,0.13416,0.75521,True,no_recovery,,1.57408,300,False
torque_limit,0.2,1,10,227,0.55039,0.10083,1.02128,True,fell,,0.3397,62,True
torque_limit,0.2,1,11,163,0.60375,0.11064,0.25632,True,recovered,2.0667,2.6912,300,False
torque_limit,0.2,1,12,211,0.66171,0.10392,0.68795,True,no_recovery,,2.2904,300,False
torque_limit,0.2,1,13,239,0.52751,0.11554,0.23197,True,recovered,1.8667,2.62035,300,False
torque_limit,0.2,1,14,165,0.59877,0.12124,0.9342,True,no_recovery,,1.18004,300,False
torque_limit,0.2,1,15,243,0.50471,0.08576,0.14069,False,no_degradation,,2.74354,300,False
torque_limit,0.2,1,16,203,0.60191,0.09998,0.64975,True,no_recovery,,1.66434,300,False
torque_limit,0.2,1,17,224,0.55325,0.09585,0.37303,True,recovered,0.9333,2.47981,300,False
torque_limit,0.2,1,18,239,0.52922,0.08133,1.07579,True,fell,,1.2839,251,True
torque_limit,0.2,1,19,208,0.52999,0.08474,0.35732,True,recovered,4.0667,2.71884,300,False
torque_limit,0.2,1,20,239,0.50723,0.09788,0.63017,True,no_recovery,,1.61766,300,False
torque_limit,0.2,1,21,180,0.49547,0.08736,0.39984,True,recovered,3.6833,2.64656,300,False
torque_limit,0.2,1,22,227,0.59401,0.09151,0.41424,True,recovered,1.4667,2.61199,300,False
torque_limit,0.2,1,23,153,0.62729,0.11428,0.34426,True,no_recovery,,2.72137,300,False
torque_limit,0.2,1,24,188,0.71887,0.10375,0.63537,True,recovered,0.0167,1.93576,300,False
torque_limit,0.2,1,25,200,0.49951,0.09303,0.19915,True,recovered,0.1667,2.7523,300,False
torque_limit,0.2,1,26,236,0.5105,0.09088,0.35617,True,recovered,0.2167,2.67303,300,False
torque_limit,0.2,1,27,150,0.5808,0.08658,0.96068,True,no_recovery,,1.20405,300,False
torque_limit,0.2,1,28,216,0.53985,0.10181,0.11715,False,no_degradation,,2.87811,300,False
torque_limit,0.2,1,29,243,0.50377,0.09046,0.88185,True,no_recovery,,1.04585,300,False
torque_limit,0.2,1,30,160,0.57658,0.07382,0.47322,True,recovered,1.2,2.5465,300,False
torque_limit,0.2,1,31,204,0.56708,0.08483,0.23753,True,no_recovery,,3.18515,300,False
torque_limit,0.2,1,32,237,0.61182,0.07276,0.8668,True,no_recovery,,1.17892,300,False
torque_limit,0.2,1,33,237,0.63722,0.10117,0.82626,True,fell,,0.43505,57,True
torque_limit,0.2,1,34,156,0.53865,0.08569,0.44019,True,recovered,0.8667,2.55758,300,False
torque_limit,0.2,1,35,160,0.66972,0.12821,0.2908,True,recovered,2.7,2.74335,300,False
torque_limit,0.2,1,36,188,0.61392,0.09986,0.17407,True,recovered,3.05,2.91252,300,False
torque_limit,0.2,1,37,165,0.51812,0.09307,0.25155,True,recovered,1.0667,2.45165,300,False
torque_limit,0.2,1,38,174,0.34831,0.09297,-0.02471,False,no_degradation,,2.82767,300,False
torque_limit,0.2,1,39,247,0.65479,0.09571,0.78769,True,fell,,0.41001,59,True
torque_limit,0.2,1,40,206,0.53028,0.07513,1.19894,True,recovered,0.3667,1.3842,300,False
torque_limit,0.2,1,41,216,0.54991,0.11131,0.93009,True,no_recovery,,1.10762,300,False
torque_limit,0.2,1,42,158,0.49427,0.10096,0.26662,True,recovered,0.1333,2.41805,300,False
torque_limit,0.2,1,43,200,0.59763,0.10121,1.06038,True,fell,,0.67014,161,True
torque_limit,0.2,1,44,216,0.59486,0.11965,0.99077,True,fell,,0.43055,77,True
torque_limit,0.2,1,45,242,0.4932,0.10891,0.79292,True,fell,,1.70941,297,True
torque_limit,0.2,1,46,200,0.52611,0.09149,0.88565,True,no_recovery,,1.14991,300,False
torque_limit,0.2,1,47,159,0.69606,0.08269,0.48773,True,no_recovery,,2.5452,300,False
torque_limit,0.2,1,48,163,0.53091,0.10921,0.5074,True,recovered,2.8,2.36034,300,False
torque_limit,0.2,1,49,154,0.46378,0.10537,0.89487,True,recovered,1.0,1.31115,300,False
torque_limit,0.2,1,50,228,0.59658,0.10604,0.82416,True,no_recovery,,1.17533,300,False
torque_limit,0.2,1,51,188,0.59876,0.11318,1.16894,True,no_recovery,,1.67361,300,False
torque_limit,0.2,1,52,246,0.4329,0.12522,0.72844,True,recovered,3.8833,2.16148,300,False
torque_limit,0.2,1,53,225,0.50972,0.09608,0.30471,True,recovered,0.0333,2.4656,300,False
torque_limit,0.2,1,54,181,0.60612,0.10909,0.71092,True,recovered,3.35,1.79182,300,False
torque_limit,0.2,1,55,246,0.49629,0.11434,0.34462,True,recovered,3.1667,2.6749,300,False
