fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.72534,0.10728,0.56172,True,recovered,0.0167,2.35313,300,False
torque_limit,0.2,1,1,197,0.56969,0.08174,0.75609,True,fell,,1.35846,260,True
torque_limit,0.2,1,2,233,0.49546,0.11766,0.96603,True,no_recovery,,0.39033,300,False
torque_limit,0.2,1,3,231,0.59762,0.09659,1.07063,True,fell,,0.8964,219,True
torque_limit,0.2,1,4,222,0.53307,0.13915,0.92113,True,fell,,0.56035,149,True
torque_limit,0.2,1,5,217,0.51283,0.09645,0.13953,False,no_degradation,,2.46959,300,False
torque_limit,0.2,1,6,194,0.21568,0.16673,-0.13603,False,no_degradation,,2.92512,300,False
torque_limit,0.2,1,8,221,0.59961,0.091,0.40153,True,recovered,4.1833,2.68933,300,False
torque_limit,0.2,1,9,192,0.67441,0.10313,1.02253,True,fell,,0.5166,93,True
torque_limit,0.2,1,10,227,0.64009,0.10963,1.07359,True,fell,,0.5582,138,True
torque_limit,0.2,1,11,163,0.79082,0.12129,0.57777,True,recovered,4.4167,2.52691,300,False
torque_limit,0.2,1,12,211,0.51491,0.0809,0.63893,True,recovered,2.6833,1.71793,300,False
torque_limit,0.2,1,13,239,0.42753,0.07004,0.22742,True,recovered,4.2667,2.43824,300,False
torque_limit,0.2,1,14,165,0.51625,0.09235,0.91788,True,fell,,0.25538,62,True
torque_limit,0.2,1,15,243,0.51523,0.11023,0.23389,True,recovered,1.2167,2.60017,300,False
torque_limit,0.2,1,16,203,0.63826,0.12593,1.10416,True,fell,,0.97755,189,True
torque_limit,0.2,1,17,224,0.72746,0.08995,0.57095,True,no_recovery,,2.4257,300,False
torque_limit,0.2,1,18,239,0.66723,0.08255,1.09603,True,fell,,0.72146,122,True
torque_limit,0.2,1,19,208,0.56683,0.13286,0.43822,True,recovered,2.8667,2.66522,300,False
torque_limit,0.2,1,20,239,0.82555,0.09699,0.96333,True,fell,,0.48372,66,True
torque_limit,0.2,1,21,180,0.63891,0.09199,0.27177,True,recovered,3.4667,3.03456,300,False
torque_limit,0.2,1,22,227,0.50097,0.15129,0.28192,True,recovered,0.8333,2.38633,300,False
torque_limit,0.2,1,23,153,0.53145,0.07965,0.29004,True,no_recovery,,2.81747,300,False
torque_limit,0.2,1,24,188,0.62933,0.1161,1.11289,True,fell,,0.39331,85,True
torque_limit,0.2,1,25,200,0.68281,0.12093,0.60014,True,recovered,1.8,2.27372,300,False
torque_limit,0.2,1,26,236,0.55645,0.11912,0.54416,True,recovered,2.2167,2.34588,300,False
torque_limit,0.2,1,27,150,0.66652,0.08317,0.89742,True,fell,,0.26262,51,True
torque_limit,0.2,1,28,216,0.7629,0.12497,0.50293,True,no_recovery,,2.6544,300,False
torque_limit,0.2,1,29,243,0.57197,0.1196,1.01342,True,no_recovery,,0.66046,300,False
torque_limit,0.2,1,30,160,0.62807,0.10467,0.23965,True,recovered,1.6,2.95712,300,False
torque_limit,0.2,1,31,204,0.66788,0.13906,0.47239,True,recovered,2.8667,2.64514,300,False
torque_limit,0.2,1,32,237,0.65446,0.13944,0.97395,True,no_recovery,,0.76413,300,False
torque_limit,0.2,1,33,237,0.54251,0.08946,1.04368,True,fell,,0.42136,83,True
torque_limit,0.2,1,34,156,0.45818,0.06774,0.17251,True,recovered,2.05,2.63532,300,False
torque_limit,0.2,1,35,160,0.42137,0.04953,0.26415,True,recovered,4.0333,2.3091,300,False
torque_limit,0.2,1,36,188,0.52544,0.16114,0.42204,True,no_recovery,,2.6949,300,False
torque_limit,0.2,1,37,165,0.60404,0.0804,0.42928,True,recovered,3.3167,2.3753,300,False
torque_limit,0.2,1,38,174,0.59927,0.12192,0.32245,True,recovered,2.3,2.64796,300,False
torque_limit,0.2,1,39,247,0.63196,0.09726,0.98659,True,fell,,0.75316,145,True
torque_limit,0.2,1,40,206,0.4164,0.06908,0.48713,True,fell,,1.01798,218,True
torque_limit,0.2,1,41,216,0.61553,0.108,0.97465,True,no_recovery,,0.60636,300,False
torque_limit,0.2,1,42,158,0.5668,0.0794,0.38901,True,no_recovery,,2.28039,300,False
torque_limit,0.2,1,43,200,0.63351,0.09349,0.89097,True,fell,,1.00144,252,True
torque_limit,0.2,1,44,216,0.47459,0.10059,1.10522,True,fell,,0.578,179,True
torque_limit,0.2,1,45,242,0.275,0.14088,0.72717,True,fell,,1.06042,281,True
torque_limit,0.2,1,46,200,0.31936,0.21825,0.96068,True,fell,,0.83394,173,True
torque_limit,0.2,1,47,159,0.654,0.06501,0.45007,True,recovered,4.5,2.40265,300,False
torque_limit,0.2,1,48,163,0.62721,0.08854,0.3292,True,recovered,2.7333,2.60517,300,False
torque_limit,0.2,1,49,154,0.5677,0.07241,0.72784,True,fell,,0.4302,94,True
torque_limit,0.2,1,50,228,0.58103,0.09608,0.99358,True,fell,,0.7678,164,True
torque_limit,0.2,1,51,188,0.71099,0.10142,0.80831,True,fell,,0.54747,112,True
torque_limit,0.2,1,52,246,0.62467,0.10598,0.98862,True,fell,,0.31312,89,True
torque_limit,0.2,1,53,225,0.59328,0.08803,0.49101,True,recovered,1.2833,2.70203,300,False
torque_limit,0.2,1,54,181,0.54325,0.08192,0.70846,True,fell,,0.54376,96,True
torque_limit,0.2,1,55,246,0.62926,0.09872,0.44807,True,no_recovery,,2.38796,300,False
torque_limit,0.2,1,56,186,0.45518,0.0733,1.11414,True,fell,,0.4023,93,True
torque_limit,0.2,1,57,156,0.5142,0.08616,0.42364,True,recovered,3.7333,2.31665,300,False
torque_limit,0.2,1,58,201,0.58898,0.10341,0.76983,True,fell,,1.39496,242,True
torque_limit,0.2,1,59,228,0.55709,0.08101,1.06521,True,fell,,0.8587,146,True
torque_limit,0.2,1,60,167,0.62291,0.10502,0.38983,True,recovered,4.15,2.70195,300,False
torque_limit,0.2,1,61,192,0.52694,0.12027,1.2538,True,no_recovery,,0.98612,300,False
