time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/value_loss,train/std
27,64.89,299,8192,-3.90071021,1,,,,,,,,,,,
56,60.28,289,16384,-3.8601213100000007,2,-0.01182854175567627,0.2,0.0003,-17.076418954133988,0.011628619,0.1406005859375,10,-0.027141844829020555,18.39122200012207,39.11962196826935,1.00544273853302
85,62.31,287,24576,-2.1929510399999996,3,0.022182703018188477,0.2,0.0003,-17.082217621803284,0.010539986,0.12091064453125,20,-0.029996894072974102,14.114117622375488,32.4004427075386,1.003488302230835
113,68.1,289,32768,-0.6769516299999998,4,0.10860192775726318,0.2,0.0003,-17.073425048589705,0.009454649,0.10872802734375,30,-0.0287751724885311,12.728658676147461,29.19741005897522,1.0037438869476318
141,65.1,290,40960,-0.7823225199999999,5,0.2954018712043762,0.2,0.0003,-17.08113716840744,0.009279564,0.10306396484375,40,-0.027497166466491762,9.465618133544922,23.203893625736235,1.0048844814300537
169,65.77,290,49152,0.92858215,6,0.4379200339317322,0.2,0.0003,-17.102638977766038,0.009679491,0.1104736328125,50,-0.027626807808701415,10.911264419555664,22.43369206190109,1.0070980787277222
195,70.4,293,57344,1.8488825200000008,7,0.4926903247833252,0.2,0.0003,-17.100221228599548,0.00977885,0.10545654296875,60,-0.027298278835951352,11.39531135559082,23.647637909650804,1.0053833723068237
219,68.19,298,65536,0.21774483000000003,8,0.5516053438186646,0.2,0.0003,-17.09826264381409,0.010579182,0.1246337890625,70,-0.03194212448579492,9.117438316345215,21.370727163553237,1.0062042474746704
244,59.93,301,73728,0.8853674100000006,9,0.5286788940429688,0.2,0.0003,-17.128294003009795,0.010280147,0.114697265625,80,-0.029386423353571445,10.182571411132812,23.002610403299332,1.0095934867858887
269,67.22,304,81920,4.4920551500000006,10,0.6027507185935974,0.2,0.0003,-17.145575255155563,0.009998017,0.123779296875,90,-0.031268362117407376,9.892120361328125,21.91812648177147,1.0100668668746948
292,66.97,307,90112,3.8151658100000003,11,0.6472423076629639,0.2,0.0003,-17.149677073955537,0.009881469,0.11212158203125,100,-0.03144758469934459,9.653887748718262,21.215166226029396,1.010563611984253
317,63.77,310,98304,5.707869540000001,12,0.6954247951507568,0.2,0.0003,-17.158489489555357,0.010881683,0.1209228515625,110,-0.03174194377934327,8.819809913635254,18.708512210845946,1.0111565589904785
340,65.88,312,106496,8.749710310000001,13,0.7555932998657227,0.2,0.0003,-17.145766526460648,0.012405079,0.14954833984375,120,-0.03630046495381976,6.056615352630615,14.873247408866883,1.0093178749084473
363,70.64,315,114688,8.08295625,14,0.7623037695884705,0.2,0.0003,-17.138193929195403,0.012219915,0.14569091796875,130,-0.035090843920625045,6.371227264404297,15.565419897437096,1.0094307661056519
386,71.26,318,122880,10.341222719999998,15,0.755980372428894,0.2,0.0003,-17.16177326440811,0.011477504,0.13011474609375,140,-0.03365014763985528,7.557489395141602,17.372281095385553,1.012502670288086
409,68.4,319,131072,9.20812538,16,0.7815037965774536,0.2,0.0003,-17.176138001680375,0.0118098585,0.13255615234375,150,-0.03571609136633924,6.800912857055664,15.64776069521904,1.0128685235977173
431,73.42,322,139264,13.67579913,17,0.8010521531105042,0.2,0.0003,-17.187083733081817,0.0128476,0.15225830078125,160,-0.03665093688468914,7.571465015411377,15.79127639234066,1.0140200853347778
453,76.33,324,147456,13.836401099999998,18,0.8372892737388611,0.2,0.0003,-17.206931936740876,0.01342306,0.1607177734375,170,-0.0379583297901263,5.3278656005859375,12.691410037875176,1.015445590019226
474,80.6,327,155648,15.07512508,19,0.8445706963539124,0.2,0.0003,-17.201092576980592,0.014010842,0.15675048828125,180,-0.03916651719628135,4.475161552429199,11.970049792528153,1.0140358209609985
