fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.63476,0.13341,0.25729,True,recovered,0.0167,2.70271,300,False
torque_limit,0.2,1,1,197,0.5558,0.08851,0.64521,True,recovered,3.0833,2.09466,300,False
torque_limit,0.2,1,2,233,0.58527,0.07781,0.83519,True,fell,,0.73526,211,True
torque_limit,0.2,1,3,231,0.62331,0.09055,0.80645,True,fell,,1.05353,195,True
torque_limit,0.2,1,4,222,0.5416,0.09078,0.70887,True,fell,,0.26387,45,True
torque_limit,0.2,1,5,217,0.52218,0.06127,0.05442,False,no_degradation,,2.87149,300,False
torque_limit,0.2,1,6,194,0.6111,0.14778,0.36931,True,recovered,3.2167,2.62028,300,False
torque_limit,0.2,1,7,244,0.61969,0.12587,1.01606,True,fell,,0.704,155,True
torque_limit,0.2,1,8,221,0.65726,0.0857,0.50516,True,recovered,1.1,2.57371,300,False
torque_limit,0.2,1,9,192,0.6103,0.08283,1.11094,True,fell,,0.40591,91,True
torque_limit,0.2,1,10,227,0.52612,0.08846,1.1087,True,fell,,0.5941,81,True
torque_limit,0.2,1,11,163,0.628,0.14301,0.54278,True,recovered,0.85,2.32568,300,False
torque_limit,0.2,1,12,211,0.58719,0.06664,0.73793,True,no_recovery,,1.73303,300,False
torque_limit,0.2,1,13,239,0.58919,0.14109,0.1676,True,recovered,2.1667,2.83415,300,False
torque_limit,0.2,1,14,165,0.67786,0.09682,0.89158,True,fell,,0.58937,147,True
torque_limit,0.2,1,15,243,0.58938,0.10153,0.29239,True,recovered,2.0667,2.70122,300,False
torque_limit,0.2,1,16,203,0.50411,0.08199,1.08296,True,fell,,1.51701,296,True
torque_limit,0.2,1,17,224,0.59449,0.09881,0.27894,True,recovered,2.0,2.67009,300,False
torque_limit,0.2,1,18,239,0.61281,0.08705,1.1901,True,fell,,1.30159,185,True
torque_limit,0.2,1,19,208,0.64496,0.11963,0.35288,True,recovered,1.4167,2.90177,300,False
torque_limit,0.2,1,20,239,0.62903,0.0977,1.05369,True,fell,,0.54004,129,True
torque_limit,0.2,1,21,180,0.59917,0.08567,0.36932,True,recovered,1.2333,2.79117,300,False
torque_limit,0.2,1,22,227,0.63825,0.09312,0.30947,True,recovered,0.8167,2.73295,300,False
torque_limit,0.2,1,23,153,0.56608,0.11689,0.19763,True,recovered,3.3,2.98323,300,False
torque_limit,0.2,1,24,188,0.60791,0.08254,1.01646,True,fell,,1.1449,247,True
torque_limit,0.2,1,25,200,0.66891,0.11091,0.36725,True,recovered,2.05,2.79303,300,False
torque_limit,0.2,1,26,236,0.61585,0.10637,0.39555,True,recovered,0.8167,2.66573,300,False
torque_limit,0.2,1,27,150,0.58721,0.09947,0.86555,True,fell,,1.018,219,True
torque_limit,0.2,1,28,216,0.54214,0.08953,0.43799,True,recovered,1.6667,2.7463,300,False
torque_limit,0.2,1,29,243,0.74122,0.08486,1.01161,True,fell,,0.61184,163,True
torque_limit,0.2,1,30,160,0.5194,0.08287,0.09753,False,no_degradation,,2.801,300,False
torque_limit,0.2,1,31,204,0.59749,0.12968,0.24814,True,no_recovery,,2.99183,300,False
torque_limit,0.2,1,32,237,0.56662,0.08653,0.70229,True,fell,,0.7159,119,True
torque_limit,0.2,1,33,237,0.51083,0.11739,0.83683,True,fell,,0.41789,55,True
torque_limit,0.2,1,34,156,0.62782,0.10697,0.34873,True,fell,,2.43969,257,True
torque_limit,0.2,1,35,160,0.59244,0.07756,0.19959,True,recovered,4.0667,2.81383,300,False
torque_limit,0.2,1,36,188,0.57427,0.08868,0.26895,True,recovered,2.1333,2.80386,300,False
torque_limit,0.2,1,37,165,0.59522,0.08589,0.34808,True,recovered,0.2667,2.5096,300,False
torque_limit,0.2,1,38,174,0.60006,0.07824,0.28197,True,recovered,2.2833,2.86953,300,False
torque_limit,0.2,1,39,247,0.54948,0.10556,0.40286,True,fell,,0.45192,44,True
torque_limit,0.2,1,40,206,0.61475,0.09517,0.99826,True,no_recovery,,1.72537,300,False
torque_limit,0.2,1,41,216,0.70351,0.07773,0.99664,True,fell,,0.46701,104,True
torque_limit,0.2,1,42,158,0.51743,0.08127,0.60528,True,no_recovery,,2.442,300,False
torque_limit,0.2,1,43,200,0.50091,0.09172,0.91879,True,no_recovery,,1.51797,300,False
torque_limit,0.2,1,44,216,0.61023,0.10269,0.2043,True,fell,,0.44658,36,True
torque_limit,0.2,1,45,242,0.71159,0.10805,0.79003,True,no_recovery,,2.18272,300,False
torque_limit,0.2,1,46,200,0.57166,0.08413,0.95684,True,fell,,0.86876,217,True
torque_limit,0.2,1,47,159,0.56276,0.0944,0.28322,True,recovered,0.0167,2.6141,300,False
torque_limit,0.2,1,48,163,0.63995,0.0893,0.29032,True,recovered,2.35,2.98691,300,False
torque_limit,0.2,1,49,154,0.67649,0.15092,0.99147,True,fell,,0.2338,101,True
torque_limit,0.2,1,50,228,0.59478,0.09976,0.95332,True,recovered,1.5667,1.25373,300,False
