rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/std,train/entropy_loss
-5.45196077,341,61.49,8192,1,24,,,,,,,,,,,
-1.7502266399999997,335,64.18,16384,2,48,0.0003,-0.009647965431213379,-0.026426621979044284,18.82771110534668,10,0.2,0.012164423,0.13514404296875,39.33582578897476,1.0020250082015991,-17.04815631508827
-1.0564786499999999,338,68.68,24576,3,72,0.0003,0.01585996150970459,-0.02993333621707279,16.009607315063477,20,0.2,0.010308091,0.1174560546875,34.42593635320664,1.0022742748260498,-17.055779808759688
1.0259604899999997,340,67.38,32768,4,96,0.0003,0.12940669059753418,-0.02731287480055471,12.44986629486084,30,0.2,0.009205304,0.10758056640625,28.190078055858613,1.0049258470535278,-17.07806035876274
0.17773252,340,65.79,40960,5,120,0.0003,0.2551431655883789,-0.025519555826758734,13.257414817810059,40,0.2,0.008438557,0.09105224609375,27.690728771686555,1.0075989961624146,-17.107631611824036
-1.0604333700000002,343,69.9,49152,6,143,0.0003,0.3254115581512451,-0.027675873626139946,12.322510719299316,50,0.2,0.01016319,0.11751708984375,28.44324271082878,1.0094993114471436,-17.13282290697098
-1.3872078499999998,344,71.94,57344,7,166,0.0003,0.45981550216674805,-0.026886476005165603,9.446362495422363,60,0.2,0.0091039445,0.10335693359375,23.40999346971512,1.010559320449829,-17.15128515958786
3.00402851,344,68.64,65536,8,190,0.0003,0.48584336042404175,-0.02853797906464024,11.703312873840332,70,0.2,0.010104312,0.1116455078125,24.99268765449524,1.0120251178741455,-17.16426548957825
0.9223850799999999,343,64.85,73728,9,214,0.0003,0.5170515775680542,-0.02816325936873909,11.197731018066406,80,0.2,0.009136118,0.1021240234375,24.66285376548767,1.0123313665390015,-17.1778506398201
5.412535270000001,342,66.88,81920,10,239,0.0003,0.5672440528869629,-0.03151450489895069,12.462794303894043,90,0.2,0.010167537,0.11773681640625,23.085735267400743,1.014060378074646,-17.187984770536424
