rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/std
-2.6026657400000004,1,71,63.92,8192,113,,,,,,,,,,,
-2.8029867700000004,2,144,62.84,16384,113,-0.01586329936981201,0.0003,-0.02793355560861528,18.857837677001953,-17.03912087678909,0.0114510525,0.1349609375,10,37.591212064027786,0.2,1.0014100074768066
-0.8352282499999997,3,214,65.01,24576,114,0.08051407337188721,0.0003,-0.027537839642172914,14.154643058776855,-17.041504514217376,0.009944445,0.11800537109375,20,30.86905018687248,0.2,1.0009396076202393
-2.87402461,4,286,60.46,32768,114,0.14098834991455078,0.0003,-0.02815980128652882,11.012800216674805,-17.063069134950638,0.0100329025,0.11112060546875,30,28.54955565929413,0.2,1.0040944814682007
-1.9614710099999995,5,356,61.95,40960,114,0.23795002698898315,0.0003,-0.02742063679979765,11.817694664001465,-17.081371438503265,0.009745039,0.10833740234375,40,26.3927780687809,0.2,1.0047523975372314
-1.2485355599999997,6,425,69.18,49152,115,0.34678739309310913,0.0003,-0.028512948624120328,10.234143257141113,-17.084171384572983,0.00971956,0.114501953125,50,23.544628888368607,0.2,1.0042682886123657
2.25602261,7,493,65.69,57344,116,0.44622015953063965,0.0003,-0.030123961304343538,9.83670425415039,-17.079455983638763,0.010433897,0.12750244140625,60,22.04896320104599,0.2,1.0044633150100708
1.8766893300000005,8,558,64.04,65536,117,0.5434278249740601,0.0003,-0.030796425917651506,7.84841775894165,-17.103345757722856,0.010683076,0.1197509765625,70,20.66642672419548,0.2,1.0072572231292725
3.6994639299999994,9,634,65.08,73728,116,0.5640529990196228,0.0003,-0.030787500346195883,10.993638038635254,-17.124003541469573,0.010231433,0.1244140625,80,24.289027911424636,0.2,1.0084645748138428
4.13855004,10,710,65.62,81920,115,0.6288819313049316,0.0003,-0.030102776326748425,8.495856285095215,-17.157794964313506,0.010740014,0.11849365234375,90,21.09788715839386,0.2,1.0125426054000854
6.4923974200000005,11,783,63.25,90112,115,0.6614734530448914,0.0003,-0.0331930300584645,8.376913070678711,-17.177278417348862,0.011189599,0.1254150390625,100,18.882432654500008,0.2,1.0128105878829956
8.30639399,12,848,74.33,98304,115,0.7198160886764526,0.0003,-0.033639470660273216,7.547990322113037,-17.178434282541275,0.011326698,0.1348388671875,110,17.40342112779617,0.2,1.0126301050186157
6.386340220000001,13,922,67.01,106496,115,0.7277255058288574,0.0003,-0.03388163867493858,7.734053134918213,-17.174128341674805,0.011425996,0.13414306640625,120,17.602418768405915,0.2,1.0120185613632202
7.941612039999999,14,996,68.54,114688,115,0.753232479095459,0.0003,-0.03568464131676592,7.389904022216797,-17.178925722837448,0.012464328,0.14290771484375,130,16.921761590242387,0.2,1.0132842063903809
10.56248087,15,1069,68.45,122880,114,0.7656264901161194,0.0003,-0.03577544232248329,8.05148696899414,-17.197255510091782,0.012344616,0.14146728515625,140,17.095476451516152,0.2,1.014859914779663
10.481679819999997,16,1131,72.8,131072,115,0.786632239818573,0.0003,-0.03781484876271861,5.878454208374023,-17.191290682554246,0.012695768,0.14791259765625,150,15.115372025966645,0.2,1.0132821798324585
11.15573282,17,1199,70.72,139264,116,0.7966191172599792,0.0003,-0.03481573596000089,5.628499507904053,-17.190613275766374,0.011398254,0.1366943359375,160,15.548682674765587,0.2,1.014147162437439
10.627727010000001,18,1266,67.95,147456,116,0.8284441232681274,0.0003,-0.0383608884178102,6.8599700927734375,-17.208531564474107,0.013888154,0.16331787109375,170,13.294996076822281,0.2,1.0153521299362183
10.47069114,19,1346,69.32,155648,115,0.8419627547264099,0.0003,-0.039559124341758435,5.769129753112793,-17.21830943822861,0.014098712,0.16829833984375,180,13.486722373962403,0.2,1.0166319608688354
15.088981669999999,20,1413,78.9,163840,115,0.8381525278091431,0.0003,-0.03870723613508744,7.378748893737793,-17.195011699199675,0.0141952,0.1628173828125,190,14.033914011716842,0.2,1.0127854347229004
15.713091780000003,21,1476,76.94,172032,116,0.8329428434371948,0.0003,-0.03941545684938319,6.842627048492432,-17.177236425876618,0.013773961,0.16832275390625,200,14.652384355664253,0.2,1.013375997543335
17.81766007,22,1543,84.03,180224,116,0.8601112365722656,0.0003,-0.04164463994602556,6.070625305175781,-17.17264903187752,0.014887897,0.18056640625,210,12.511796620488166,0.2,1.012046217918396
19.49996898,23,1615,88.2,188416,116,0.8581379652023315,0.0003,-0.04314300522673875,5.785131454467773,-17.177946907281875,0.016298253,0.19439697265625,220,13.043612030148505,0.2,1.0129295587539673
18.736641,24,1694,82.97,196608,116,0.8689904808998108,0.0003,-0.04163859189429786,5.435824871063232,-17.175444573163986,0.015899237,0.1793212890625,230,12.113930484652519,0.2,1.0123814344406128
22.427164689999994,25,1754,85.39,204800,116,0.8736616969108582,0.0003,-0.04318567152513424,5.349730968475342,-17.189668047428132,0.016410254,0.19842529296875,240,13.285521104931831,0.2,1.0147579908370972
21.060932690000005,26,1821,92.19,212992,116,0.8693183660507202,0.0003,-0.04342138668798725,8.044142723083496,-17.204462194442748,0.01599461,0.191259765625,250,14.818799263238907,0.2,1.0151318311691284
22.62206329,27,1891,87.23,221184,116,0.8603240251541138,0.0003,-0.04359713354278938,7.049823760986328,-17.225857388973235,0.0170128,0.20322265625,260,14.974592831730842,0.2,1.0174559354782104
25.36423433,28,1955,95.67,229376,117,0.8715617656707764,0.0003,-0.04357207810462569,6.25637674331665,-17.22888875603676,0.016801473,0.2074462890625,270,14.671258845925331,0.2,1.017123818397522
31.09576509,29,2013,106.89,237568,117,0.8772730827331543,0.0003,-0.0430869006406283,7.00778341293335,-17.240337479114533,0.017199665,0.19794921875,280,13.872460076212883,0.2,1.0189261436462402
29.711090000000002,30,2091,95.31,245760,117,0.8853550553321838,0.0003,-0.044957299386442176,4.945507526397705,-17.239441633224487,0.018074974,0.210302734375,290,11.888451448082924,0.2,1.0174156427383423
41.008045229999986,31,2157,118.97,253952,117,0.9139565825462341,0.0003,-0.04612340093663079,3.8900928497314453,-17.22392893433571,0.020028375,0.23858642578125,300,10.9816261485219,0.2,1.0163757801055908
41.04660036,32,2236,132.58,262144,117,0.8936811089515686,0.0003,-0.04412871741369599,5.07808780670166,-17.221164387464523,0.019404836,0.21531982421875,310,12.993966391682624,0.2,1.016004204750061
39.62301758,33,2328,125.49,270336,116,0.8775676488876343,0.0003,-0.044971125624579146,8.283732414245605,-17.209898155927657,0.017389756,0.20374755859375,320,17.15129891037941,0.2,1.0152223110198975
43.01945422,34,2395,128.27,278528,116,0.8898183107376099,0.0003,-0.04418490598036442,6.985504627227783,-17.188495308160782,0.017313842,0.19627685546875,330,15.997238650918007,0.2,1.0124627351760864
