fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,57,156,0.55581,0.08025,0.70918,True,fell,,2.7254,299,True
torque_limit,0.2,1,58,201,0.50109,0.09869,0.83432,True,no_recovery,,1.1332,300,False
torque_limit,0.2,1,59,228,0.53614,0.06293,0.36266,True,fell,,0.24095,26,True
torque_limit,0.2,1,60,167,0.46348,0.10789,0.53745,True,fell,,1.69087,294,True
torque_limit,0.2,1,61,192,0.67113,0.19081,0.4315,True,recovered,3.0667,2.43169,300,False
torque_limit,0.2,1,62,194,0.50597,0.07308,0.55905,True,no_recovery,,2.02328,300,False
torque_limit,0.2,1,63,195,0.41331,0.10367,0.19835,True,no_recovery,,2.66532,300,False
torque_limit,0.2,1,64,201,0.55092,0.07626,0.90428,True,recovered,1.5167,1.65827,300,False
torque_limit,0.2,1,65,167,0.60199,0.12318,0.74838,True,no_recovery,,1.64586,300,False
torque_limit,0.2,1,66,244,0.5578,0.08799,0.78223,True,fell,,1.90774,217,True
torque_limit,0.2,1,67,228,0.55539,0.08262,0.89299,True,recovered,1.2667,2.14034,300,False
torque_limit,0.2,1,68,198,0.56744,0.08934,0.40391,True,recovered,1.6833,2.49644,300,False
torque_limit,0.2,1,69,155,0.53684,0.11656,0.64028,True,recovered,0.6667,2.34281,300,False
torque_limit,0.2,1,70,214,0.58907,0.07601,1.04448,True,recovered,3.45,1.26998,300,False
torque_limit,0.2,1,71,245,0.53591,0.10403,0.41695,True,recovered,2.6667,2.49488,300,False
torque_limit,0.2,1,72,245,0.5041,0.08412,0.35621,True,recovered,0.0167,2.00832,300,False
torque_limit,0.2,1,73,231,0.51599,0.10182,1.00707,True,no_recovery,,0.2042,300,False
torque_limit,0.2,1,74,169,0.45926,0.06921,0.12368,False,fell,,0.68372,74,True
torque_limit,0.2,1,75,216,0.42276,0.05715,1.0005,True,no_recovery,,0.8323,300,False
torque_limit,0.2,1,76,206,0.58002,0.08102,0.35192,True,recovered,0.9667,2.46457,300,False
torque_limit,0.2,1,77,155,0.57706,0.0932,0.59483,True,no_recovery,,1.9157,300,False
torque_limit,0.2,1,78,223,0.60339,0.09555,0.38682,True,recovered,2.25,2.60617,300,False
torque_limit,0.2,1,79,160,0.50426,0.07602,0.45973,True,recovered,2.8333,2.18617,300,False
torque_limit,0.2,1,80,240,0.49002,0.0841,0.47652,True,recovered,2.5,2.2547,300,False
torque_limit,0.2,1,81,155,0.54,0.07035,0.48342,True,recovered,1.9,2.51971,300,False
torque_limit,0.2,1,82,221,0.5612,0.09044,0.69658,True,fell,,1.00475,131,True
torque_limit,0.2,1,83,224,0.6244,0.09188,0.99916,True,no_recovery,,0.21769,300,False
torque_limit,0.2,1,84,215,0.37006,0.08298,0.29058,True,fell,,1.49869,186,True
torque_limit,0.2,1,85,221,0.51714,0.11788,0.82961,True,fell,,1.19582,155,True
torque_limit,0.2,1,86,245,0.63037,0.10425,0.37898,True,recovered,1.4667,2.60148,300,False
torque_limit,0.2,1,87,211,0.43326,0.09505,0.01984,False,no_degradation,,2.68608,300,False
torque_limit,0.2,1,88,200,0.50291,0.12929,1.13933,True,no_recovery,,0.38655,300,False
torque_limit,0.2,1,89,235,0.47252,0.09383,1.04362,True,fell,,0.39254,84,True
torque_limit,0.2,1,90,215,0.4722,0.12544,1.02649,True,no_recovery,,0.26306,300,False
torque_limit,0.2,1,91,223,0.47897,0.10522,0.04663,False,fell,,0.6655,67,True
torque_limit,0.2,1,92,194,0.53639,0.11681,0.8018,True,fell,,0.19414,33,True
torque_limit,0.2,1,93,245,0.48417,0.07888,0.63292,True,recovered,1.5833,2.34027,300,False
torque_limit,0.2,1,94,154,0.40717,0.08326,0.99801,True,no_recovery,,0.29306,300,False
torque_limit,0.2,1,95,194,0.50213,0.12008,1.01221,True,no_recovery,,0.27645,300,False
torque_limit,0.2,1,96,232,0.54866,0.10911,0.42267,True,recovered,3.6333,2.13485,300,False
torque_limit,0.2,1,97,163,0.50118,0.08977,0.24108,True,recovered,1.9667,2.46303,300,False
torque_limit,0.2,1,98,183,0.47009,0.1238,0.57476,True,fell,,1.29092,194,True
torque_limit,0.2,1,99,245,0.54933,0.07467,0.28209,True,recovered,1.0333,2.52637,300,False
joint_lock,1.0,1,0,235,0.52603,0.06713,0.57669,True,recovered,2.3,2.39883,300,False
joint_lock,1.0,1,1,197,0.65305,0.07521,0.44151,True,recovered,2.2333,2.84853,300,False
joint_lock,1.0,1,2,233,0.51233,0.08207,0.99855,True,no_recovery,,0.38184,300,False
joint_lock,1.0,1,3,231,0.54384,0.12812,0.56397,True,no_recovery,,1.94388,300,False
joint_lock,1.0,1,4,222,0.5093,0.09859,0.45833,True,recovered,0.9667,1.99191,300,False
joint_lock,1.0,1,6,194,0.52478,0.10329,0.3136,True,recovered,1.1667,2.52648,300,False
joint_lock,1.0,1,7,244,0.54566,0.11242,0.99543,True,no_recovery,,1.17906,300,False
joint_lock,1.0,1,8,221,0.69083,0.12239,0.56277,True,no_recovery,,2.62809,300,False
joint_lock,1.0,1,9,192,0.38644,0.20837,0.38676,True,recovered,1.6667,1.89133,300,False
joint_lock,1.0,1,10,227,0.54904,0.11362,0.32181,True,recovered,2.5667,2.3664,300,False
joint_lock,1.0,1,11,163,0.47767,0.18504,0.6772,True,recovered,3.95,1.77249,300,False
joint_lock,1.0,1,12,211,0.54338,0.08989,0.22987,True,recovered,2.1333,2.66408,300,False
joint_lock,1.0,1,13,239,0.54842,0.15051,0.75156,True,no_recovery,,1.70503,300,False
joint_lock,1.0,1,14,165,0.62181,0.07285,0.98233,True,no_recovery,,1.33867,300,False
joint_lock,1.0,1,15,243,0.47045,0.09053,0.40287,True,recovered,0.8167,2.23986,300,False
joint_lock,1.0,1,16,203,0.50162,0.0783,0.82447,True,recovered,2.3833,1.82901,300,False
joint_lock,1.0,1,17,224,0.36731,0.10806,0.09686,False,no_degradation,,2.11542,300,False
joint_lock,1.0,1,18,239,0.49644,0.08127,0.47843,True,recovered,2.2667,1.94398,300,False
joint_lock,1.0,1,19,208,0.46157,0.08726,0.26516,True,recovered,2.8333,2.43135,300,False
joint_lock,1.0,1,20,239,0.53145,0.10418,1.06272,True,no_recovery,,0.94091,300,False
joint_lock,1.0,1,21,180,0.17684,0.20493,0.16298,True,no_recovery,,2.3368,300,False
joint_lock,1.0,1,22,227,0.51103,0.09637,0.55325,True,no_recovery,,1.72594,300,False
joint_lock,1.0,1,23,153,0.55003,0.10158,0.33338,True,recovered,0.85,2.35049,300,False
joint_lock,1.0,1,24,188,0.35712,0.21863,0.31542,True,recovered,1.2,1.64133,300,False
joint_lock,1.0,1,25,200,0.59573,0.12212,0.79195,True,no_recovery,,1.76188,300,False
joint_lock,1.0,1,26,236,0.56828,0.06973,0.43896,True,recovered,1.7833,2.44021,300,False
joint_lock,1.0,1,27,150,0.42935,0.09427,1.04028,True,no_recovery,,1.11061,300,False
joint_lock,1.0,1,28,216,0.44881,0.07526,0.27319,True,recovered,3.2333,2.62767,300,False
joint_lock,1.0,1,29,243,0.59802,0.06408,1.00078,True,no_recovery,,0.47707,300,False
joint_lock,1.0,1,30,160,0.58394,0.07795,0.52046,True,no_recovery,,2.87322,300,False
joint_lock,1.0,1,31,204,0.48764,0.08763,0.7344,True,recovered,1.7333,2.04747,300,False
joint_lock,1.0,1,32,237,0.64311,0.09105,0.99674,True,no_recovery,,0.77702,300,False
joint_lock,1.0,1,33,237,0.43399,0.0753,0.28288,True,recovered,0.8,2.09813,300,False
joint_lock,1.0,1,34,156,0.54171,0.08747,0.83462,True,recovered,1.1833,2.05993,300,False
joint_lock,1.0,1,35,160,0.50209,0.10749,0.54611,True,no_recovery,,1.72307,300,False
joint_lock,1.0,1,36,188,0.59959,0.10476,0.21037,True,recovered,2.3833,3.15735,300,False
joint_lock,1.0,1,37,165,0.55999,0.08521,0.47018,True,no_recovery,,2.06438,300,False
joint_lock,1.0,1,38,174,0.48712,0.06119,0.38561,True,recovered,0.9167,1.97135,300,False
joint_lock,1.0,1,39,247,0.44713,0.117,0.26299,True,recovered,1.4833,2.51566,300,False
joint_lock,1.0,1,40,206,0.45167,0.07414,0.1009,False,no_degradation,,2.82873,300,False
joint_lock,1.0,1,41,216,0.55242,0.07295,1.00048,True,no_recovery,,0.26807,300,False
joint_lock,1.0,1,42,158,0.55229,0.06609,0.18332,True,recovered,4.4333,2.64668,300,False
joint_lock,1.0,1,43,200,0.48134,0.10383,0.58851,True,no_recovery,,1.47703,300,False
joint_lock,1.0,1,44,216,0.6031,0.06749,0.57745,True,no_recovery,,2.17825,300,False
joint_lock,1.0,1,45,242,0.56498,0.13072,0.25853,True,recovered,1.0833,3.09867,300,False
joint_lock,1.0,1,46,200,0.6371,0.09016,0.67639,True,no_recovery,,1.66364,300,False
joint_lock,1.0,1,47,159,0.5722,0.09388,0.50934,True,no_recovery,,1.89554,300,False
joint_lock,1.0,1,48,163,0.45685,0.12735,0.0942,False,no_degradation,,2.53597,300,False
joint_lock,1.0,1,49,154,0.46554,0.10528,0.49778,True,recovered,2.7167,1.6951,300,False
joint_lock,1.0,1,50,228,0.50493,0.09467,0.62727,True,no_recovery,,1.49734,300,False
joint_lock,1.0,1,51,188,0.57389,0.09353,0.32803,True,recovered,1.0833,2.68236,300,False
joint_lock,1.0,1,53,225,0.52504,0.11009,0.57281,True,no_recovery,,1.65437,300,False
joint_lock,1.0,1,54,181,0.56589,0.08586,0.6387,True,no_recovery,,1.83931,300,False
joint_lock,1.0,1,55,246,0.52052,0.11952,0.48,True,recovered,2.4,2.40359,300,False
joint_lock,1.0,1,56,186,0.56342,0.08616,0.55345,True,no_recovery,,1.55449,300,False
joint_lock,1.0,1,57,156,0.55581,0.08025,0.2823,True,recovered,1.0833,2.5142,300,False
joint_lock,1.0,1,58,201,0.50109,0.09869,0.18735,True,recovered,0.2667,2.5497,300,False
joint_lock,1.0,1,59,228,0.53614,0.06293,0.37136,True,recovered,2.2,2.3016,300,False
joint_lock,1.0,1,60,167,0.46348,0.10789,0.48262,True,no_recovery,,1.77411,300,False
joint_lock,1.0,1,61,192,0.67113,0.19081,0.47885,True,no_recovery,,2.55523,300,False
joint_lock,1.0,1,62,194,0.50597,0.07308,1.00601,True,recovered,2.2167,1.90014,300,False
joint_lock,1.0,1,63,195,0.41331,0.10367,0.19415,True,no_recovery,,2.68026,300,False
joint_lock,1.0,1,64,201,0.55092,0.07626,0.61239,True,recovered,4.0167,1.84041,300,False
joint_lock,1.0,1,65,167,0.60199,0.12318,0.57549,True,recovered,2.4833,2.41265,300,False
joint_lock,1.0,1,66,244,0.5578,0.08799,0.45101,True,recovered,2.0167,2.4954,300,False
joint_lock,1.0,1,67,228,0.55539,0.08262,0.39191,True,no_recovery,,2.06642,300,False
joint_lock,1.0,1,68,198,0.56744,0.08934,0.43511,True,recovered,2.2,2.66506,300,False
joint_lock,1.0,1,69,155,0.53684,0.11656,0.55561,True,no_recovery,,2.14379,300,False
joint_lock,1.0,1,70,214,0.58907,0.07601,0.65786,True,recovered,2.7833,2.03317,300,False
joint_lock,1.0,1,71,245,0.53591,0.10403,0.49465,True,no_recovery,,1.59289,300,False
joint_lock,1.0,1,72,245,0.5041,0.08412,0.5732,True,no_recovery,,1.80749,300,False
joint_lock,1.0,1,73,231,0.51599,0.10182,1.06965,True,no_recovery,,0.34911,300,False
joint_lock,1.0,1,74,169,0.45926,0.06921,0.26044,True,recovered,3.3167,2.40573,300,False
joint_lock,1.0,1,75,216,0.42276,0.05715,0.9196,True,recovered,0.6167,1.55292,300,False
joint_lock,1.0,1,76,206,0.58002,0.08102,0.5931,True,fell,,1.69381,234,True
joint_lock,1.0,1,77,155,0.57706,0.0932,0.93206,True,no_recovery,,2.11071,300,False
joint_lock,1.0,1,78,223,0.60339,0.09555,0.3905,True,recovered,1.3333,2.32378,300,False
joint_lock,1.0,1,79,160,0.50426,0.07602,0.37558,True,recovered,0.95,2.10282,300,False
joint_lock,1.0,1,80,240,0.49002,0.0841,0.58239,True,no_recovery,,2.44498,300,False
joint_lock,1.0,1,81,155,0.54,0.07035,0.985,True,no_recovery,,1.7042,300,False
joint_lock,1.0,1,82,221,0.5612,0.09044,0.48181,True,recovered,2.75,2.35202,300,False
joint_lock,1.0,1,83,224,0.6244,0.09188,0.99872,True,no_recovery,,0.79025,300,False
joint_lock,1.0,1,84,215,0.37006,0.08298,0.44649,True,no_recovery,,2.16496,300,False
joint_lock,1.0,1,85,221,0.51714,0.11788,0.1512,True,recovered,0.0333,2.48125,300,False
joint_lock,1.0,1,86,245,0.63037,0.10425,0.9773,True,recovered,1.2333,2.34546,300,False
joint_lock,1.0,1,87,211,0.43326,0.09505,0.32337,True,recovered,2.6167,2.36041,300,False
joint_lock,1.0,1,88,200,0.50291,0.12929,0.71779,True,no_recovery,,1.43999,300,False
joint_lock,1.0,1,89,235,0.47252,0.09383,0.34163,True,recovered,0.5667,2.21182,300,False
joint_lock,1.0,1,90,215,0.4722,0.12544,1.00284,True,no_recovery,,0.44332,300,False
joint_lock,1.0,1,91,223,0.47897,0.10522,0.43318,True,recovered,4.0667,2.40509,300,False
joint_lock,1.0,1,92,194,0.53639,0.11681,0.43708,True,recovered,1.4667,2.32499,300,False
joint_lock,1.0,1,93,245,0.48417,0.07888,0.49168,True,recovered,2.6333,1.7857,300,False
joint_lock,1.0,1,94,154,0.40717,0.08326,1.00078,True,no_recovery,,0.23872,300,False
joint_lock,1.0,1,95,194,0.50213,0.12008,0.99502,True,no_recovery,,0.83406,300,False
joint_lock,1.0,1,96,232,0.54866,0.10911,0.89717,True,recovered,0.7833,1.87535,300,False
joint_lock,1.0,1,97,163,0.50118,0.08977,0.40909,True,no_recovery,,1.90445,300,False
joint_lock,1.0,1,98,183,0.47009,0.1238,0.57894,True,recovered,4.0167,2.01249,300,False
joint_lock,1.0,1,99,245,0.54933,0.07467,0.89307,True,fell,,0.89325,191,True
actuation_delay,10,1,0,235,0.52603,0.06713,1.19072,True,no_recovery,,0.42637,300,False
actuation_delay,10,1,1,197,0.65305,0.07521,1.36216,True,no_recovery,,0.17947,300,False
actuation_delay,10,1,2,233,0.51233,0.08207,1.66624,True,fell,,0.70851,170,True
actuation_delay,10,1,3,231,0.54384,0.12812,0.76791,True,fell,,0.32525,71,True
actuation_delay,10,1,4,222,0.5093,0.09859,0.89145,True,fell,,0.52863,129,True
actuation_delay,10,1,6,194,0.52478,0.10329,1.17283,True,fell,,0.88607,196,True
actuation_delay,10,1,7,244,0.54566,0.11242,0.95888,True,fell,,0.77482,143,True
