fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.6291,0.06899,0.25587,True,recovered,0.0167,2.68592,300,False
torque_limit,0.2,1,1,197,0.57544,0.10169,0.54278,True,recovered,0.7167,2.48846,300,False
torque_limit,0.2,1,2,233,0.64452,0.09007,0.92585,True,no_recovery,,0.759,300,False
torque_limit,0.2,1,3,231,0.53503,0.07979,0.33598,True,recovered,2.0167,2.45903,300,False
torque_limit,0.2,1,4,222,0.5584,0.08858,1.12285,True,no_recovery,,1.21595,300,False
torque_limit,0.2,1,5,217,0.56598,0.113,0.30826,True,recovered,0.0167,2.50463,300,False
torque_limit,0.2,1,6,194,0.47336,0.06642,0.15649,True,recovered,3.1333,2.752,300,False
torque_limit,0.2,1,7,244,0.56781,0.09835,0.46275,True,no_recovery,,1.9876,300,False
torque_limit,0.2,1,8,221,0.5702,0.08763,0.32317,True,recovered,2.2667,2.39561,300,False
torque_limit,0.2,1,9,192,0.54546,0.08218,0.40927,True,no_recovery,,2.09126,300,False
torque_limit,0.2,1,10,227,0.59413,0.07493,0.82003,True,fell,,0.31125,48,True
torque_limit,0.2,1,11,163,0.57361,0.1332,0.35715,True,recovered,0.3667,2.57706,300,False
torque_limit,0.2,1,12,211,0.53976,0.08813,0.19298,True,recovered,1.2167,2.59628,300,False
torque_limit,0.2,1,13,239,0.61872,0.07089,0.34953,True,recovered,0.8,2.54882,300,False
torque_limit,0.2,1,14,165,0.43415,0.0931,-0.00583,False,no_degradation,,2.64021,300,False
torque_limit,0.2,1,15,243,0.62463,0.11133,0.42218,True,recovered,0.95,2.54814,300,False
torque_limit,0.2,1,16,203,0.50534,0.07449,0.33221,True,recovered,0.95,2.18479,300,False
torque_limit,0.2,1,17,224,0.5448,0.10321,0.36655,True,no_recovery,,2.64067,300,False
torque_limit,0.2,1,18,239,0.57677,0.07706,0.65626,True,recovered,0.6333,2.1109,300,False
torque_limit,0.2,1,19,208,0.6806,0.08505,0.66644,True,recovered,0.95,2.75146,300,False
torque_limit,0.2,1,20,239,0.5962,0.11111,0.56824,True,no_recovery,,2.14049,300,False
torque_limit,0.2,1,21,180,0.51473,0.1355,0.06595,False,no_degradation,,2.62563,300,False
torque_limit,0.2,1,22,227,0.61272,0.09935,0.20304,True,recovered,1.7667,2.74671,300,False
torque_limit,0.2,1,23,153,0.44229,0.07444,-0.06115,False,no_degradation,,2.80132,300,False
torque_limit,0.2,1,24,188,0.37021,0.0702,0.2256,True,fell,,1.7879,258,True
torque_limit,0.2,1,25,200,0.55889,0.08174,0.31521,True,recovered,0.75,2.47532,300,False
torque_limit,0.2,1,26,236,0.52475,0.1103,0.19285,True,recovered,2.1,2.69235,300,False
torque_limit,0.2,1,27,150,0.48818,0.07906,0.39031,True,recovered,2.3833,2.28774,300,False
torque_limit,0.2,1,28,216,0.49464,0.13221,0.20529,True,recovered,3.25,2.74731,300,False
torque_limit,0.2,1,29,243,0.49125,0.07938,0.96838,True,no_recovery,,0.88687,300,False
torque_limit,0.2,1,30,160,0.64875,0.06924,0.31852,True,recovered,2.1333,2.69016,300,False
torque_limit,0.2,1,31,204,0.50706,0.08238,0.16592,True,recovered,0.0333,2.70799,300,False
torque_limit,0.2,1,32,237,0.45731,0.07421,0.99227,True,no_recovery,,1.09692,300,False
torque_limit,0.2,1,33,237,0.58214,0.06334,0.90323,True,fell,,0.47334,69,True
torque_limit,0.2,1,34,156,0.56821,0.0987,0.29593,True,recovered,0.05,2.54068,300,False
torque_limit,0.2,1,35,160,0.50608,0.09087,0.24283,True,recovered,0.1833,2.56872,300,False
torque_limit,0.2,1,36,188,0.5737,0.10736,0.16852,True,recovered,3.95,2.77691,300,False
torque_limit,0.2,1,37,165,0.55991,0.10062,0.25031,True,recovered,3.9833,2.73504,300,False
torque_limit,0.2,1,38,174,0.61414,0.09146,0.30755,True,recovered,0.55,2.90726,300,False
torque_limit,0.2,1,39,247,0.56413,0.07478,0.29402,True,fell,,0.30892,28,True
torque_limit,0.2,1,40,206,0.59928,0.10834,0.47088,True,recovered,1.1333,2.34344,300,False
torque_limit,0.2,1,41,216,0.48744,0.11227,0.81783,True,no_recovery,,1.30246,300,False
torque_limit,0.2,1,42,158,0.5493,0.09099,0.12935,False,no_degradation,,2.78309,300,False
torque_limit,0.2,1,43,200,0.49021,0.10161,0.59064,True,recovered,1.8833,1.97313,300,False
torque_limit,0.2,1,44,216,0.57133,0.11911,0.91129,True,fell,,0.43815,55,True
torque_limit,0.2,1,45,242,0.52612,0.09809,0.44355,True,recovered,2.1667,2.6547,300,False
torque_limit,0.2,1,46,200,0.5051,0.0785,0.39431,True,recovered,0.0833,2.10015,300,False
torque_limit,0.2,1,47,159,0.58614,0.1027,0.27271,True,recovered,1.7,2.49798,300,False
torque_limit,0.2,1,48,163,0.49936,0.08504,0.28743,True,recovered,0.95,2.60414,300,False
torque_limit,0.2,1,49,154,0.62591,0.12535,0.83274,True,no_recovery,,1.37683,300,False
torque_limit,0.2,1,50,228,0.56491,0.11823,0.5997,True,recovered,0.0333,2.00312,300,False
torque_limit,0.2,1,51,188,0.43111,0.08323,0.37314,True,recovered,4.3667,2.29841,300,False
torque_limit,0.2,1,52,246,0.56102,0.09846,0.87482,True,no_recovery,,1.66073,300,False
torque_limit,0.2,1,53,225,0.58752,0.0735,0.26703,True,recovered,1.8,2.59894,300,False
torque_limit,0.2,1,54,181,0.60228,0.11862,0.91254,True,no_recovery,,0.9222,300,False
torque_limit,0.2,1,55,246,0.46209,0.11754,0.13279,False,no_degradation,,2.68184,300,False
torque_limit,0.2,1,56,186,0.53174,0.10332,0.39294,True,recovered,2.1667,2.11355,300,False
torque_limit,0.2,1,57,156,0.55422,0.11983,0.2987,True,recovered,2.5167,2.46541,300,False
torque_limit,0.2,1,58,201,0.551,0.09101,0.53727,True,recovered,2.8833,2.37914,300,False
torque_limit,0.2,1,59,228,0.51982,0.08136,0.82509,True,fell,,0.38524,51,True
torque_limit,0.2,1,60,167,0.50147,0.08516,0.17799,True,recovered,3.95,2.78901,300,False
torque_limit,0.2,1,61,192,0.51249,0.08152,0.79713,True,fell,,1.12851,299,True
torque_limit,0.2,1,62,194,0.612,0.08721,0.31629,True,recovered,1.9,2.73209,300,False
torque_limit,0.2,1,63,195,0.45878,0.09936,0.17453,True,recovered,0.0167,2.63088,300,False
torque_limit,0.2,1,64,201,0.55595,0.08585,1.0267,True,no_recovery,,1.02428,300,False
torque_limit,0.2,1,65,167,0.49814,0.09494,0.22901,True,recovered,2.85,2.54016,300,False
torque_limit,0.2,1,66,244,0.58049,0.07604,0.71906,True,fell,,1.32632,150,True
torque_limit,0.2,1,67,228,0.60074,0.09385,0.43881,True,no_recovery,,2.25141,300,False
torque_limit,0.2,1,68,198,0.47086,0.10252,-0.01337,False,no_degradation,,2.79792,300,False
torque_limit,0.2,1,69,155,0.614,0.11346,0.37366,True,recovered,1.1,2.54816,300,False
torque_limit,0.2,1,70,214,0.55243,0.09262,0.48852,True,recovered,1.8667,2.16811,300,False
torque_limit,0.2,1,71,245,0.52208,0.06775,0.27365,True,recovered,0.1167,2.46989,300,False
torque_limit,0.2,1,72,245,0.65551,0.08774,0.36281,True,recovered,0.5667,2.72295,300,False
torque_limit,0.2,1,73,231,0.60901,0.08791,0.79159,True,no_recovery,,1.36581,300,False
torque_limit,0.2,1,74,169,0.60273,0.08201,0.27944,True,recovered,1.2833,2.75651,300,False
torque_limit,0.2,1,75,216,0.6197,0.08774,0.64794,True,no_recovery,,2.07856,300,False
torque_limit,0.2,1,76,206,0.55808,0.06814,0.3338,True,recovered,1.7667,2.44191,300,False
torque_limit,0.2,1,77,155,0.60114,0.10489,0.31516,True,recovered,0.5167,2.82596,300,False
torque_limit,0.2,1,78,223,0.49867,0.07085,0.90996,True,fell,,1.48284,190,True
torque_limit,0.2,1,79,160,0.53338,0.09795,0.15325,True,recovered,1.8333,2.51692,300,False
torque_limit,0.2,1,80,240,0.44477,0.07465,0.14314,False,no_degradation,,2.62236,300,False
torque_limit,0.2,1,81,155,0.61013,0.09686,0.30817,True,recovered,4.2833,2.81464,300,False
torque_limit,0.2,1,82,221,0.54753,0.1194,0.2992,True,fell,,1.47033,169,True
torque_limit,0.2,1,83,224,0.54238,0.06357,0.84567,True,fell,,0.80435,179,True
torque_limit,0.2,1,84,215,0.50772,0.1118,0.90334,True,no_recovery,,1.00711,300,False
torque_limit,0.2,1,85,221,0.65671,0.08708,0.36852,True,recovered,0.2833,2.58622,300,False
torque_limit,0.2,1,86,245,0.4699,0.09564,0.27662,True,recovered,2.1333,2.64429,300,False
torque_limit,0.2,1,87,211,0.58685,0.07696,0.52734,True,recovered,2.6333,2.3485,300,False
torque_limit,0.2,1,88,200,0.50643,0.12057,0.38796,True,fell,,1.05174,141,True
torque_limit,0.2,1,89,235,0.58821,0.10205,0.31451,True,fell,,0.32035,30,True
torque_limit,0.2,1,90,215,0.61089,0.11971,0.95246,True,no_recovery,,0.68847,300,False
torque_limit,0.2,1,91,223,0.44902,0.09795,0.82579,True,fell,,0.40224,64,True
torque_limit,0.2,1,92,194,0.4015,0.09949,0.06308,False,no_degradation,,2.52259,300,False
torque_limit,0.2,1,93,245,0.56223,0.07349,0.53135,True,recovered,0.2833,1.91412,300,False
torque_limit,0.2,1,94,154,0.53294,0.11823,0.88571,True,fell,,0.75973,211,True
torque_limit,0.2,1,95,194,0.56264,0.10612,1.01561,True,no_recovery,,0.53942,300,False
torque_limit,0.2,1,96,232,0.61428,0.09803,0.23088,True,recovered,0.2333,2.854,300,False
torque_limit,0.2,1,97,163,0.6357,0.10539,0.48699,True,no_recovery,,2.01982,300,False
torque_limit,0.2,1,98,183,0.57952,0.08961,0.83404,True,fell,,0.53637,184,True
torque_limit,0.2,1,99,245,0.52123,0.07809,0.19004,True,no_recovery,,2.64676,300,False
joint_lock,1.0,1,0,235,0.6291,0.06899,0.22385,True,recovered,0.0167,2.68497,300,False
joint_lock,1.0,1,1,197,0.57544,0.10169,0.32073,True,recovered,2.2833,2.60448,300,False
joint_lock,1.0,1,2,233,0.64452,0.09007,0.98974,True,no_recovery,,1.1229,300,False
joint_lock,1.0,1,3,231,0.53503,0.07979,0.55863,True,no_recovery,,1.60085,300,False
joint_lock,1.0,1,4,222,0.5584,0.08858,0.61442,True,recovered,3.95,1.68526,300,False
joint_lock,1.0,1,5,217,0.56598,0.113,0.19944,True,recovered,0.0167,2.70632,300,False
joint_lock,1.0,1,6,194,0.47336,0.06642,0.10169,False,no_degradation,,2.74083,300,False
joint_lock,1.0,1,7,244,0.56781,0.09835,0.63937,True,no_recovery,,1.47923,300,False
joint_lock,1.0,1,8,221,0.5702,0.08763,0.29214,True,recovered,1.35,2.52539,300,False
joint_lock,1.0,1,9,192,0.54546,0.08218,0.62891,True,no_recovery,,1.5504,300,False
joint_lock,1.0,1,10,227,0.59413,0.07493,0.46935,True,no_recovery,,2.14867,300,False
joint_lock,1.0,1,11,163,0.57361,0.1332,0.35049,True,recovered,0.2333,2.69764,300,False
joint_lock,1.0,1,12,211,0.53976,0.08813,0.08072,False,no_degradation,,2.79759,300,False
joint_lock,1.0,1,13,239,0.61872,0.07089,0.27142,True,recovered,0.1,2.77243,300,False
joint_lock,1.0,1,14,165,0.43415,0.0931,0.51259,True,no_recovery,,1.51043,300,False
joint_lock,1.0,1,15,243,0.62463,0.11133,0.3192,True,recovered,1.15,2.76115,300,False
joint_lock,1.0,1,16,203,0.50534,0.07449,1.05695,True,no_recovery,,1.14392,300,False
joint_lock,1.0,1,17,224,0.5448,0.10321,0.26698,True,recovered,1.1333,2.70455,300,False
joint_lock,1.0,1,18,239,0.57677,0.07706,0.71393,True,no_recovery,,1.19536,300,False
joint_lock,1.0,1,19,208,0.6806,0.08505,0.3838,True,recovered,3.2833,3.10982,300,False
joint_lock,1.0,1,20,239,0.5962,0.11111,0.60447,True,no_recovery,,1.60967,300,False
joint_lock,1.0,1,21,180,0.51473,0.1355,0.63116,True,recovered,4.2833,2.32542,300,False
joint_lock,1.0,1,22,227,0.61272,0.09935,0.52434,True,recovered,0.0167,2.57884,300,False
joint_lock,1.0,1,23,153,0.44229,0.07444,-0.00813,False,no_degradation,,2.68026,300,False
joint_lock,1.0,1,24,188,0.37021,0.0702,0.48199,True,recovered,1.0,1.6547,300,False
joint_lock,1.0,1,25,200,0.55889,0.08174,0.27046,True,recovered,0.8833,2.62677,300,False
joint_lock,1.0,1,26,236,0.52475,0.1103,0.13435,False,no_degradation,,2.83513,300,False
joint_lock,1.0,1,27,150,0.48818,0.07906,0.56321,True,no_recovery,,1.542,300,False
joint_lock,1.0,1,28,216,0.49464,0.13221,0.22617,True,recovered,2.7333,2.61996,300,False
joint_lock,1.0,1,29,243,0.49125,0.07938,0.48258,True,recovered,0.9667,1.95498,300,False
joint_lock,1.0,1,30,160,0.64875,0.06924,0.33294,True,recovered,1.4833,2.9297,300,False
joint_lock,1.0,1,31,204,0.50706,0.08238,0.28109,True,recovered,0.0167,2.37969,300,False
joint_lock,1.0,1,32,237,0.45731,0.07421,0.80419,True,recovered,0.3667,1.35953,300,False
joint_lock,1.0,1,33,237,0.58214,0.06334,0.26494,True,recovered,3.0167,2.6142,300,False
joint_lock,1.0,1,34,156,0.56821,0.0987,0.35776,True,recovered,0.0333,2.70923,300,False
joint_lock,1.0,1,35,160,0.50608,0.09087,0.24671,True,recovered,1.3167,2.62585,300,False
joint_lock,1.0,1,36,188,0.5737,0.10736,0.18258,True,recovered,1.6667,2.6325,300,False
joint_lock,1.0,1,37,165,0.55991,0.10062,0.13144,False,no_degradation,,2.81484,300,False
joint_lock,1.0,1,38,174,0.61414,0.09146,0.35621,True,recovered,0.2167,2.72174,300,False
joint_lock,1.0,1,39,247,0.56413,0.07478,0.25146,True,recovered,2.9167,2.51869,300,False
joint_lock,1.0,1,40,206,0.59928,0.10834,0.2111,True,recovered,3.1333,2.86208,300,False
joint_lock,1.0,1,41,216,0.48744,0.11227,0.91356,True,fell,,0.91405,132,True
joint_lock,1.0,1,42,158,0.5493,0.09099,0.26537,True,recovered,2.4333,2.76151,300,False
joint_lock,1.0,1,43,200,0.49021,0.10161,0.51779,True,no_recovery,,1.53365,300,False
joint_lock,1.0,1,44,216,0.57133,0.11911,0.7454,True,fell,,0.6468,77,True
joint_lock,1.0,1,45,242,0.52612,0.09809,0.16427,True,recovered,2.6167,2.79974,300,False
joint_lock,1.0,1,46,200,0.5051,0.0785,0.56703,True,no_recovery,,1.50967,300,False
joint_lock,1.0,1,47,159,0.58614,0.1027,0.0949,False,no_degradation,,2.93944,300,False
